Category,Location,Map,Names,Permit
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4009 SOUTH CAPITOL ST SW Washington, DC 20032']","http://maps.google.com/maps?q=4009 SOUTH CAPITOL ST SW Washington, DC 20032",AL'S LIQUORS,?a=inspections&permitID=4542
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1382 EAST CAPITOL ST NE Washington, DC 20003']","http://maps.google.com/maps?q=1382 EAST CAPITOL ST NE Washington, DC 20003",AL'S PIZZA,?a=inspections&permitID=4693
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1382 EAST CAPITOL ST NE Washington, DC 20003']","http://maps.google.com/maps?q=1382 EAST CAPITOL ST NE Washington, DC 20003",AL'S PIZZA,?a=inspections&permitID=706
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2209 ALABAMA AVE SE WASHINGTON, DC 20020']","http://maps.google.com/maps?q=2209 ALABAMA AVE SE WASHINGTON, DC 20020",ALABAMA CONVENIENCE,?a=inspections&permitID=4215
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t425 I ST NW Washington, DC 20001']","http://maps.google.com/maps?q=425 I ST NW Washington, DC 20001",ALBA OSTERIA,?a=inspections&permitID=148128
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2010 P ST NW Washington, DC 20036']","http://maps.google.com/maps?q=2010 P ST NW Washington, DC 20036",ALBERTO'S PIZZA,?a=inspections&permitID=172712
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2010 P ST NW Washington, DC 20036']","http://maps.google.com/maps?q=2010 P ST NW Washington, DC 20036",ALBERTO'S PIZZA,?a=inspections&permitID=2408
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t328 KENTUCKY AVE SE Washington, DC 20003']","http://maps.google.com/maps?q=328 KENTUCKY AVE SE Washington, DC 20003",ALBERTS LIQUOR,?a=inspections&permitID=4317
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t901 17TH ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=901 17TH ST NE WASHINGTON, DC 20002",ALDI GROCERY STORE,?a=inspections&permitID=6243
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3500 CONNECTICUT AVE NW Washington, DC 20008']","http://maps.google.com/maps?q=3500 CONNECTICUT AVE NW Washington, DC 20008",ALERO RESTAURANT,?a=inspections&permitID=3047
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1724 CONNECTICUT AVE NW Washington, DC 20009']","http://maps.google.com/maps?q=1724 CONNECTICUT AVE NW Washington, DC 20009",ALERO RESTAURANT,?a=inspections&permitID=2056
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1301 U ST NW UNIT 113 Washington, DC 20009']","http://maps.google.com/maps?q=1301 U ST NW Washington, DC 20009",ALERO RESTAURANT,?a=inspections&permitID=1624
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3345 14TH ST NW Washington, DC 20010']","http://maps.google.com/maps?q=3345 14TH ST NW Washington, DC 20010",ALERO RESTAURANT & LOUNGE,?a=inspections&permitID=4758
